Total_Population:CBS data derived from VSLGWBTAB and GBADRESOBJECTBYS
Total_ICPCPat_Pop:ELAN data PAT 
%_Gender_Mannen:CBS data derived from GBAPERSOONTAB - GBAGESLACHT
%_Gender_Vrouwen:CBS data derived from GBAPERSOONTAB - GBAGESLACHT
%_0to20:CBS data derived from GBAPERSOONTAB - GBAGEBOORTEJAAR, GBAGEBOORTEMAAND, GBAGEBOORTEDAG
%_21to40:CBS data derived from GBAPERSOONTAB - GBAGEBOORTEJAAR, GBAGEBOORTEMAAND, GBAGEBOORTEDAG 
%_41to60:CBS data derived from GBAPERSOONTAB - GBAGEBOORTEJAAR, GBAGEBOORTEMAAND, GBAGEBOORTEDAG
%_61to80:CBS data derived from GBAPERSOONTAB - GBAGEBOORTEJAAR, GBAGEBOORTEMAAND, GBAGEBOORTEDAG
%_Above80:CBS data derived from GBAPERSOONTAB - GBAGEBOORTEJAAR, GBAGEBOORTEMAAND, GBAGEBOORTEDAG
%_MajorEthnicity_Native Dutch:CBS data derived from GBAPERSOONTAB - GBAHERKOMSTGROEPERING
%_MajorEthnicity_Western:CBS data derived from GBAPERSOONTAB - GBAHERKOMSTGROEPERING
%_MajorEthnicity_Non-Western:CBS data derived from GBAPERSOONTAB - GBAHERKOMSTGROEPERING
%_MinorEthnicity_Marokko:CBS data derived from GBAPERSOONTAB - GBAHERKOMSTGROEPERING
%_MinorEthnicity_Suriname:CBS data derived from GBAPERSOONTAB - GBAHERKOMSTGROEPERING
%_MinorEthnicity_Turkije:CBS data derived from GBAPERSOONTAB - GBAHERKOMSTGROEPERING
%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba:CBS data derived from GBAPERSOONTAB - GBAHERKOMSTGROEPERING
%_Multiperson_Household:CBS data derived from GBAHUISHOUDENSBUS - TYPHH
%_HouseholdType_Institutional:CBS data derived from GBAHUISHOUDENSBUS - TYPHH
%_Employee:CBS,ELAN
%_Unemployment_benefit_user:CBS,ELAN
%_Welfare_benefit_user:CBS,ELAN
%_Other_social_benefit_user:CBS,ELAN
%_Sickness_benefit_user:CBS,ELAN
%_Pension_benefit_user:CBS,ELAN
%_Moving_count_above_1:CBS,ELAN
%_Lifeevents_count_above_2:CBS,ELAN
%_Low_Income:CBS,ELAN
%_Debt_Mortgage:CBS,ELAN
%_Debt_Poor:CBS,ELAN
%_Wanbet:CBS,ELAN
%_WMO_user:CBS,ELAN
%_WLZ_user:CBS,ELAN
%_ZVWKHUISARTS_user:CBS,ELAN
%_ZVWKFARMACIE_user:CBS,ELAN
%_ZVWKZIEKENHUIS_user:CBS,ELAN
%_ZVWKOSTENPSYCHO_user:CBS,ELAN
%_HVZ_Medication_user:CBS,ELAN
%_UniqueMed_Count_>=5:CBS,ELAN
%_UniqueMed_Count_>=10:CBS,ELAN
%_DIAB_Medication_user:CBS,ELAN
%_BLOEDDRUKV_Medication_user: CBS,ELAN
%_CHOL_Medication_user: CBS,ELAN
%_DIURETICS_Medication_user: CBS,ELAN
%_DIURETICS_RAAS_BETA_Medication_user: CBS,ELAN
%_OPIOID_Medication_user: CBS,ELAN
%_OPIOID_MULYEARS_Medication_user: CBS,ELAN
%_Opioid_user_no_death: CBS,ELAN
%_Opioid_user_no_death_primary: CBS,ELAN
%_Opioid_user_2Years_no_death: CBS,ELAN
%_Opioid_user_2Years_no_death_primary: CBS,ELAN
%_Opioid_user_no_death_comb: CBS,ELAN
%_Opioid_user_2Years_no_death_comb: CBS,ELAN
%_Hypertensie_patients: CBS,ELAN
%_COPD_patients: CBS,ELAN
%_Diabetes_I_patients: CBS,ELAN
%_Diabetes_II_patients: CBS,ELAN
%_Hartfalen_patients: CBS,ELAN
%_OMA_patients: CBS,ELAN
%_Morbus_Parkinson_patients: CBS,ELAN
%_Heupfractuur_patients: CBS,ELAN
%_BMIUP45_patients: CBS,ELAN
%_Lung_Cancer_patients: CBS,ELAN
%_Colon_Cancer_patients: CBS,ELAN
%_Back_pain_patients: CBS,ELAN
%_ICPC_Hartfalen_patients: CBS,ELAN
%_Medication_Dependency_patients: CBS,ELAN 
%_Alcohol_Dependency_patients: CBS,ELAN
%_Loneliness_patients: CBS,ELAN
%_ICPC_Obesitas_patients: CBS,ELAN
%_BMI_NormalWeight: CBS,ELAN
%_BMI_Obese: CBS,ELAN
%_BMI_OverWeight: CBS,ELAN
%_BMI_UnderWeight: CBS,ELAN
%_Medication_Dependency_3Years_patients: CBS,ELAN
%_Medication_Dependency_5Years_patients: CBS,ELAN
%_Alcohol_Dependency_3Years_patients: CBS,ELAN
%_Alcohol_Dependency_5Years_patients %_Loneliness_3Years_patients: CBS,ELAN
%_Loneliness_5Years_patients: CBS,ELAN
%_Hartfalen_PrimarynSecondary_patients: CBS,ELAN
%_Primary_care_patients_in_Secondary_care: CBS,ELAN
%_Proxy_Primary_care_refer_to_Secondary_care: CBS,ELAN
%_JGDHULP_user: CBS,ELAN
%_GEDETINEERDENTAB: CBS,ELAN
%_SHNTAB: CBS,ELAN
%_HBOPL_Low: CBS,ELAN
%_HBOPL_Mid: CBS,ELAN
%_HBOPL_High: CBS,ELAN
%_HGOPL_Low: CBS,ELAN
%_HGOPL_Mid: CBS,ELAN
%_HGOPL_High: CBS,ELAN
AGE_MEAN:CBS,ELAN
Income_MEAN:CBS,ELAN
Moving_Count_MEAN:CBS,ELAN
Lifeevents_Count_MEAN:CBS,ELAN
UniqueMed_Count_MEAN:CBS,ELAN
ZVWKOSTENTOTAAL_MEAN:CBS,ELAN
ZVWKHUISARTS_MEAN:CBS,ELAN
ZVWKHUISARTS_NO_REG_MEAN:CBS,ELAN
ZVWKZIEKENHUIS_MEAN:CBS,ELAN
ZVWKFARMACIE_MEAN:CBS,ELAN
ZVWKOSTENPSYCHO_MEAN:CBS,ELAN
